operator,technology,gnb_id_dummy,cell_id_dummy,pci,channel_number,longitude,latitude,height_m,azimuth_deg
A,5GNR,1,1,114,636000,16.370170109982826,48.185331736227425,29.0,35.0
A,5GNR,16,25,370,636000,16.373664556445775,48.18746986362317,27.0,230.0
A,5GNR,11,19,286,636000,16.36752007988875,48.19003310326909,58.0,155.0
A,5GNR,16,26,371,636000,16.373664556445775,48.18746986362317,27.0,190.0
A,5GNR,2,2,116,636000,16.37182301010928,48.18416980326168,37.0,270.0
A,5GNR,7,10,201,636000,16.34612220977379,48.17015865159477,22.0,20.0
A,5GNR,6,8,157,636000,16.35858184279199,48.18554734975814,43.0,145.0
A,5GNR,20,33,452,636000,16.379494622652626,48.1881406303067,38.0,320.0
A,5GNR,3,3,136,636000,16.347864941428618,48.18964383447941,37.0,120.0
A,5GNR,5,6,146,636000,16.352877540725142,48.18823645340571,30.0,245.0
A,5GNR,4,4,138,636000,16.350398190535515,48.18490050645075,39.0,55.0
A,5GNR,6,7,156,636000,16.35858184279199,48.18554734975814,43.0,30.0
A,5GNR,6,9,158,636000,16.35858184279199,48.18554734975814,43.0,240.0
A,5GNR,4,5,140,636000,16.350398190535515,48.18490050645075,39.0,275.0
A,5GNR,8,11,221,425090,16.312695897977125,48.201164939167676,35.0,320.0
A,5GNR,8,12,221,636000,16.312695897977125,48.201164939167676,35.0,320.0
A,5GNR,9,13,238,636000,16.394792931975044,48.19245249222611,30.0,160.0
A,5GNR,9,14,239,636000,16.394792931975044,48.19245249222611,30.0,270.0
A,5GNR,10,15,259,636000,16.327015043637974,48.1863259466217,41.0,120.0
A,5GNR,11,17,285,636000,16.36752007988875,48.19003310326909,58.0,20.0
A,5GNR,15,24,369,636000,16.37416761300598,48.188613755099304,32.0,270.0
A,5GNR,11,16,285,425090,16.36752007988875,48.19003310326909,58.0,20.0
A,5GNR,13,22,331,636000,16.359525073842303,48.19391365201871,36.0,145.0
A,5GNR,11,18,286,425090,16.36752007988875,48.19003310326909,58.0,155.0
A,5GNR,12,20,320,636000,16.271741704083748,48.15276967695303,26.0,325.0
A,5GNR,14,23,338,636000,16.28730950799204,48.15988896361069,35.0,250.0
A,5GNR,13,21,331,425090,16.359525073842303,48.19391365201871,36.0,90.0
A,5GNR,17,27,390,636000,16.374499989662002,48.17464575179909,41.0,10.0
A,5GNR,18,28,419,636000,16.389394057105562,48.18855985502494,29.0,300.0
A,5GNR,20,30,450,636000,16.379494622652626,48.1881406303067,38.0,70.0
A,5GNR,19,29,423,636000,16.283033527229634,48.19799749241746,38.0,25.0
A,5GNR,22,35,87,636000,16.29496315422933,48.19253633040345,29.0,350.0
A,5GNR,20,32,451,636000,16.379494622652626,48.1881406303067,38.0,240.0
A,5GNR,20,31,451,425090,16.379494622652626,48.1881406303067,38.0,240.0
A,5GNR,21,34,457,636000,16.305778870273915,48.210163251367774,31.0,205.0
